,Location,year,Lat,Long,Adult,Child/Youth,Concession,CTP,School Student,Senior/Pensioner,Others,Total
1,Arlington Light Rail,2016,-33.901828,151.138049,49554,6675,3412,NA,1233,5173,6877,66518
2,Arlington Light Rail,2017,-33.901828,151.138049,109165,11554,8072,NA,2843,10566,14518,143309
3,Arlington Light Rail,2018,-33.901828,151.138049,116748,10378,6573,2176,3235,11508,15837,151712
4,Arlington Light Rail,2019,-33.901828,151.138049,130170,12045,6504,15333,4880,14001,19355,183407
5,Arlington Light Rail,2020,-33.901828,151.138049,51409,5722,3441,17773,4555,7537,12357,90702
6,Arlington Light Rail,2021,-33.901828,151.138049,29815,3648,2370,15349,3526,6153,9980,61162
7,Arlington Light Rail,2022,-33.901828,151.138049,33417,3740,2413,24948,4556,8911,13713,78231
8,Arlington Light Rail,2023,-33.901828,151.138049,3225,764,217,3040,28,1009,1071,8317
9,Bridge Street Light Rail,2019,-33.8629212,151.2070899,23503,2418,851,6201,51,3198,3580,36553
10,Bridge Street Light Rail,2020,-33.8629212,151.2070899,254836,11632,14277,102810,2904,39636,44716,428271
11,Bridge Street Light Rail,2021,-33.8629212,151.2070899,256560,11819,24311,171658,2712,47911,52968,517316
12,Bridge Street Light Rail,2022,-33.8629212,151.2070899,400956,22858,39068,378776,5746,78396,88318,929976
13,Bridge Street Light Rail,2023,-33.8629212,151.2070899,37581,4016,2841,41451,48,7960,8461,94350
14,Capitol Square Light Rail,2016,-33.879764,151.205575,292839,11986,9544,NA,160,70500,72070,386439
15,Capitol Square Light Rail,2017,-33.879764,151.205575,456451,19540,16338,NA,1102,136464,141191,633520
16,Capitol Square Light Rail,2018,-33.879764,151.205575,418769,18517,13563,5488,872,131317,136118,592455
17,Capitol Square Light Rail,2019,-33.879764,151.205575,419035,24598,14147,28924,785,143632,148130,634834
18,Capitol Square Light Rail,2020,-33.879764,151.205575,204868,13383,9247,55413,1984,76635,80669,363580
19,Capitol Square Light Rail,2021,-33.879764,151.205575,124420,9492,9178,54314,1943,61655,65268,262672
20,Capitol Square Light Rail,2022,-33.879764,151.205575,179619,14901,9900,112161,1789,85380,90050,406631
21,Capitol Square Light Rail,2023,-33.879764,151.205575,21586,3167,909,15565,19,9559,9923,51150
22,Central Chalmers Street Light Rail,2019,-33.88413605,151.2076442,37346,5434,2629,6934,1111,9537,11271,63614
23,Central Chalmers Street Light Rail,2020,-33.88413605,151.2076442,615183,38313,101521,171504,126081,126391,259614,1186135
24,Central Chalmers Street Light Rail,2021,-33.88413605,151.2076442,743987,43595,267478,324142,71854,162454,243017,1622219
25,Central Chalmers Street Light Rail,2022,-33.88413605,151.2076442,1110972,72367,466886,725333,55086,259143,327968,2703526
26,Central Chalmers Street Light Rail,2023,-33.88413605,151.2076442,101122,9639,15013,80010,393,26177,28007,233791
27,Central Grand Concourse Light Rail,2016,-33.882453,151.206602,848710,45311,43152,NA,335,276515,281775,1218948
28,Central Grand Concourse Light Rail,2017,-33.882453,151.206602,1873320,99865,98253,NA,1788,554817,570843,2642281
29,Central Grand Concourse Light Rail,2018,-33.882453,151.206602,1866526,101084,92823,9119,2211,538746,556141,2625693
30,Central Grand Concourse Light Rail,2019,-33.882453,151.206602,1859787,112305,92276,89437,3354,574122,593134,2746939
31,Central Grand Concourse Light Rail,2020,-33.882453,151.206602,663721,41135,40504,135180,9256,231036,247530,1128070
32,Central Grand Concourse Light Rail,2021,-33.882453,151.206602,366388,23372,29730,125197,8035,187106,200384,745071
33,Central Grand Concourse Light Rail,2022,-33.882453,151.206602,482622,44417,34136,242834,6921,283096,299389,1103398
34,Central Grand Concourse Light Rail,2023,-33.882453,151.206602,54441,8927,3312,32341,46,31577,32777,131798
35,Chinatown Light Rail,2019,-33.87703179,151.2057166,60263,7768,1889,13031,141,11367,12732,95683
36,Chinatown Light Rail,2020,-33.87703179,151.2057166,657805,45161,37220,240746,4435,138686,151675,1132607
37,Chinatown Light Rail,2021,-33.87703179,151.2057166,667062,47507,57874,394365,5178,182614,195181,1361989
38,Chinatown Light Rail,2022,-33.87703179,151.2057166,1207115,97738,98821,936689,8356,300821,323242,2663605
39,Chinatown Light Rail,2023,-33.87703179,151.2057166,131105,18323,7129,115957,96,32646,34580,307094
40,Circular Quay Light Rail,2019,-33.86021284,151.2109523,92545,15832,2515,21030,164,23593,26960,158882
41,Circular Quay Light Rail,2020,-33.86021284,151.2109523,593186,75194,31261,219255,2296,187270,207074,1125970
42,Circular Quay Light Rail,2021,-33.86021284,151.2109523,442395,65223,41397,317555,2870,191442,206240,1072810
43,Circular Quay Light Rail,2022,-33.86021284,151.2109523,970089,143930,63610,892532,5632,335588,367328,2437489
44,Circular Quay Light Rail,2023,-33.86021284,151.2109523,121546,28473,5167,126577,42,39409,43112,324875
45,Civic Light Rail,2019,-32.92700977,151.7719597,100052,8411,23036,14675,800,28665,32108,178282
46,Civic Light Rail,2020,-32.92700977,151.7719597,46412,5031,10195,21039,788,16691,18638,101315
47,Civic Light Rail,2021,-32.92700977,151.7719597,34645,4503,9964,29081,918,17533,19633,97826
48,Civic Light Rail,2022,-32.92700977,151.7719597,36834,4525,12404,43576,656,22645,24698,122037
49,Civic Light Rail,2023,-32.92700977,151.7719597,3183,857,349,4012,2,1904,2026,10427
50,Convention Light Rail,2016,-33.872625,151.198133,166216,14228,7471,NA,556,19748,22017,209932
51,Convention Light Rail,2017,-33.872625,151.198133,401404,34979,18843,NA,718,57288,64600,519826
52,Convention Light Rail,2018,-33.872625,151.198133,401791,36295,17227,5868,1042,58876,67352,528533
53,Convention Light Rail,2019,-33.872625,151.198133,398705,39578,17882,30606,1242,68333,75300,562071
54,Convention Light Rail,2020,-33.872625,151.198133,143454,15438,8104,37748,1244,26495,29715,234459
55,Convention Light Rail,2021,-33.872625,151.198133,77975,9411,6020,33438,1053,21317,23594,150438
