,Location,Date,Lat,Long,Total
81,Bridge Street Light Rail,Q1 2020,-33.8629212,151.2070899,68052
82,Bridge Street Light Rail,Q1 2020,-33.8629212,151.2070899,65489
83,Bridge Street Light Rail,Q1 2020,-33.8629212,151.2070899,41102
84,Bridge Street Light Rail,Q2 2020,-33.8629212,151.2070899,5418
85,Bridge Street Light Rail,Q2 2020,-33.8629212,151.2070899,10789
86,Bridge Street Light Rail,Q2 2020,-33.8629212,151.2070899,19841
87,Bridge Street Light Rail,Q3 2020,-33.8629212,151.2070899,29398
88,Bridge Street Light Rail,Q3 2020,-33.8629212,151.2070899,28047
89,Bridge Street Light Rail,Q3 2020,-33.8629212,151.2070899,31599
90,Bridge Street Light Rail,Q4 2020,-33.8629212,151.2070899,38507
91,Bridge Street Light Rail,Q4 2020,-33.8629212,151.2070899,44149
92,Bridge Street Light Rail,Q4 2020,-33.8629212,151.2070899,45880
93,Bridge Street Light Rail,Q1 2021,-33.8629212,151.2070899,41390
94,Bridge Street Light Rail,Q1 2021,-33.8629212,151.2070899,55587
95,Bridge Street Light Rail,Q1 2021,-33.8629212,151.2070899,62198
96,Bridge Street Light Rail,Q2 2021,-33.8629212,151.2070899,72334
97,Bridge Street Light Rail,Q2 2021,-33.8629212,151.2070899,71181
98,Bridge Street Light Rail,Q2 2021,-33.8629212,151.2070899,57924
99,Bridge Street Light Rail,Q3 2021,-33.8629212,151.2070899,9257
100,Bridge Street Light Rail,Q3 2021,-33.8629212,151.2070899,8291
101,Bridge Street Light Rail,Q3 2021,-33.8629212,151.2070899,10097
102,Bridge Street Light Rail,Q4 2021,-33.8629212,151.2070899,26965
103,Bridge Street Light Rail,Q4 2021,-33.8629212,151.2070899,48805
104,Bridge Street Light Rail,Q4 2021,-33.8629212,151.2070899,53287
105,Bridge Street Light Rail,Q1 2022,-33.8629212,151.2070899,35290
106,Bridge Street Light Rail,Q1 2022,-33.8629212,151.2070899,49012
107,Bridge Street Light Rail,Q1 2022,-33.8629212,151.2070899,73574
108,Bridge Street Light Rail,Q2 2022,-33.8629212,151.2070899,75802
109,Bridge Street Light Rail,Q2 2022,-33.8629212,151.2070899,78257
110,Bridge Street Light Rail,Q2 2022,-33.8629212,151.2070899,77258
111,Bridge Street Light Rail,Q3 2022,-33.8629212,151.2070899,79364
112,Bridge Street Light Rail,Q3 2022,-33.8629212,151.2070899,85502
113,Bridge Street Light Rail,Q3 2022,-33.8629212,151.2070899,90068
114,Bridge Street Light Rail,Q4 2022,-33.8629212,151.2070899,90970
115,Bridge Street Light Rail,Q4 2022,-33.8629212,151.2070899,98634
116,Bridge Street Light Rail,Q4 2022,-33.8629212,151.2070899,96245
315,Chinatown Light Rail,Q1 2020,-33.87703179,151.2057166,168185
316,Chinatown Light Rail,Q1 2020,-33.87703179,151.2057166,134871
317,Chinatown Light Rail,Q1 2020,-33.87703179,151.2057166,88883
318,Chinatown Light Rail,Q2 2020,-33.87703179,151.2057166,17979
319,Chinatown Light Rail,Q2 2020,-33.87703179,151.2057166,37025
320,Chinatown Light Rail,Q2 2020,-33.87703179,151.2057166,61632
321,Chinatown Light Rail,Q3 2020,-33.87703179,151.2057166,83108
